Area,Element,mean,std,min,max,Cluster
Least Developed Countries,Standard Deviation,0.3527857142857143,0.06957785078304465,0.249,0.487,0
Least Developed Countries,Temperature change,0.44101162790697673,0.5503197892602413,-0.664,1.718,3
Lebanon,Standard Deviation,0.8886279069767441,0.3158552552528797,0.495,1.537,4
Lebanon,Temperature change,0.2600204081632653,1.116164271060306,-2.496,3.259,8
Lesotho,Standard Deviation,0.7224444444444444,0.18512152771887114,0.326,0.986,4
Lesotho,Temperature change,0.4955809523809524,0.8325184195346483,-1.678,2.693,8
Liberia,Standard Deviation,0.35529824561403506,0.10133270618130967,0.221,0.607,0
Liberia,Temperature change,0.5075,0.5707728573076816,-0.848,1.894,3
Libya,Standard Deviation,0.8548181818181818,0.2946035857339023,0.383,1.315,4
Libya,Temperature change,0.6090283018867925,1.0897569187890102,-2.167,3.682,1
Liechtenstein,Standard Deviation,1.31408547008547,0.5279332437659789,0.469,2.814,2
Liechtenstein,Temperature change,0.49182954545454544,1.631815533731839,-4.861,4.136,7
Lithuania,Temperature change,1.1478070175438595,2.096292411093218,-3.616,6.719,9
Low Income Food Deficit Countries,Standard Deviation,0.3508229166666667,0.07166662510198714,0.245,0.53,0
Low Income Food Deficit Countries,Temperature change,0.4974081632653061,0.48025321578608954,-0.701,1.737,3
Luxembourg,Temperature change,1.60625,1.9032054793884432,-2.367,5.97,5
Madagascar,Standard Deviation,0.3919304347826087,0.06208733545171284,0.279,0.508,0
Madagascar,Temperature change,0.3321368421052632,0.5173752416278693,-1.135,1.508,3
Malawi,Standard Deviation,0.45697916666666666,0.10998401598382297,0.253,0.672,0
Malawi,Temperature change,0.4819173553719008,0.7357862641054674,-1.08,3.186,8
Malaysia,Standard Deviation,0.2736351351351351,0.08615620956867683,0.171,0.48,0
Malaysia,Temperature change,0.4005057471264368,0.49054501899852254,-0.824,1.933,3
Maldives,Standard Deviation,0.39182222222222224,0.08489379720565575,0.274,0.542,0
Maldives,Temperature change,0.4346666666666667,0.4510514247345884,-0.599,1.403,3
Mali,Standard Deviation,0.7013793103448276,0.23217211213918945,0.364,1.295,4
Mali,Temperature change,0.6468279569892473,0.8353284907572476,-1.542,2.892,8
Malta,Standard Deviation,0.8283457943925233,0.20656686535894733,0.362,1.267,4
Malta,Temperature change,0.5496875,0.9111141682523054,-2.772,2.281,8
Marshall Islands,Temperature change,0.040045454545454544,0.30076189721450364,-0.635,0.713,0
Martinique,Standard Deviation,0.3963148148148148,0.11085214941897385,0.272,0.573,0
Martinique,Temperature change,0.2503157894736842,0.5313205600332043,-0.989,1.587,3
Mauritania,Standard Deviation,0.8615168539325843,0.3271246673795353,0.379,1.342,4
Mauritania,Temperature change,0.6303404255319149,0.892423383696079,-2.052,3.129,8
Mauritius,Standard Deviation,0.40363953488372095,0.05562942784295074,0.278,0.509,0
